name,country_area_id,flag_image
Togo,7,country_flags/flags/shiny/64/Togo.png
Nigeria,7,country_flags/flags/shiny/64/Nigeria.png
Namibia,7,country_flags/flags/shiny/64/Namibia.png
Niger,7,country_flags/flags/shiny/64/Niger.png
Burkina Faso,7,country_flags/flags/shiny/64/Burkina-Faso.png
Burundi,7,country_flags/flags/shiny/64/Burundi.png
Benin,7,country_flags/flags/shiny/64/Benin.png
Botswana,7,country_flags/flags/shiny/64/Botswana.png
Madagascar,7,country_flags/flags/shiny/64/Madagascar.png
Malawi,7,country_flags/flags/shiny/64/Malawi.png
Mali,7,country_flags/flags/shiny/64/Mali.png
South Africa,7,country_flags/flags/shiny/64/South-Africa.png
South Sudan,7,country_flags/flags/shiny/64/South-Sudan.png
Mauritius,7,country_flags/flags/shiny/64/Mauritius.png
Mauritania,7,country_flags/flags/shiny/64/Mauritania.png
Mozambique,7,country_flags/flags/shiny/64/Mozambique.png
Morocco,7,country_flags/flags/shiny/64/Morocco.png
Libya,7,country_flags/flags/shiny/64/Libya.png
Liberia,7,country_flags/flags/shiny/64/Liberia.png
Rwanda,7,country_flags/flags/shiny/64/Rwanda.png
Lesotho,7,country_flags/flags/shiny/64/Lesotho.png
